position, player, projection, salary
C, Matt Bonner, 1.9813999999999998, 3500
C, Tim Duncan, 24.903799999999997, 6000
SG, Manu Ginobili, 20.498399999999997, 4600
SG, Danny Green, 15.794599999999999, 3800
SF, Richard Jefferson, 6.237, 3500
PG, Cory Joseph, 13.2566, 3700
SF, Kawhi Leonard, 33.6336, 8500
PG, Chris Paul, 37.7568, 9000
PF, Jason Smith, 8.794199999999998, 3500
SF, Tony Allen, 16.695999999999998, 3900
PF, Darrell Arthur, 10.5098, 3500
PG, Mike Conley, 30.397399999999998, 6500
C, Marc Gasol, 32.65, 7800
PF, Zach Randolph, 28.8612, 6500
SF, Chase Budinger, 10.528199999999998, 3500
PG, Goran Dragic, 26.248599999999996, 5800
PF, Jordan Hill, 19.013599999999997, 4800
SG, Courtney Lee, 19.1386, 4400
PG, Kyle Lowry, 40.3456, 8900
SG, Kevin Martin, 10.6824, 3900
SF, Marcus Morris, 20.980999999999998, 5200
PF, Patrick Patterson, 14.956, 3600
PF, Luis Scola, 21.309199999999997, 4400
C, Ian Mahinmi, 20.7476, 5000
PF, Dirk Nowitzki, 26.7444, 6900
SF, Jeremy Evans, 3.6653999999999995, 3500
PG, Devin Harris, 12.5152, 3600
SF, Gordon Hayward, 32.4762, 7600
C, Enes Kanter, 22.6948, 4800
SF, C.J. Miles, 21.619, 4400
C, Cole Aldrich, 15.013199999999998, 4000
C, Nick Collison, 3.8035999999999994, 3500
SF, Kevin Durant, 43.6366, 9900
PF, Serge Ibaka, 28.632799999999996, 6500
PG, Reggie Jackson, 28.5174, 7200
C, Kendrick Perkins, 5.7898, 3500
SG, Raymond Felton, 19.8814, 4800
SF, Wesley Matthews, 21.604999999999997, 5100
SF, Bojan Bogdanovic, 22.327599999999997, 4400
SG, Wayne Ellington, 16.839599999999997, 3800
PF, Kevin Love, 31.1972, 7400
SF, Chandler Parsons, 22.0506, 5100
PG, Ricky Rubio, 33.2138, 7600
PF, Anthony Tolliver, 13.0944, 3600
SF, Derrick Williams, 15.696599999999998, 3800
SG, Arron Afflalo, 21.9418, 4600
PF, Kenneth Faried, 29.249, 6500
SF, Danilo Gallinari, 29.567999999999998, 7100
PG, Andre Miller, 7.6602, 3500
C, Timofey Mozgov, 12.413799999999998, 3500
SG, Tyreke Evans, 33.5004, 7500
PG, Isaiah Thomas, 33.928599999999996, 8100
C, Hassan Whiteside, 32.382999999999996, 7600
SF, Vince Carter, 2.7702, 3500
SF, Jared Dudley, 15.027199999999999, 3900
PF, Channing Frye, 12.482399999999998, 3500
C, Marcin Gortat, 31.1796, 7000
C, Robin Lopez, 24.058799999999998, 4100
PF, Markieff Morris, 10.591999999999999, 4400
SF, Matt Barnes, 18.5262, 5000
PG, Steve Blake, 10.075, 3500
SF, Al-Farouq Aminu, 20.927599999999998, 5100
SG, Randy Foye, 10.4162, 3500
SG, Eric Gordon, 20.9776, 4800
C, DeAndre Jordan, 36.133399999999995, 7900
C, Chris Kaman, 0.9385999999999999, 3500
PG, Mo Williams, 7.5012, 4200
C, Louis Amundson, 3.8173999999999997, 3500
SG, Monta Ellis, 27.4944, 6000
PF, David Lee, 17.1048, 4100
PG, Jeremy Lin, 27.0948, 5300
PF, Andrea Bargnani, 6.626599999999999, 3500
PG, Jose Calderon, 19.047399999999996, 4100
PF, Ed Davis, 13.987400000000001, 3800
SG, DeMar DeRozan, 34.8668, 8200
C, Amir Johnson, 20.2178, 4400
SF, James Johnson, 13.290400000000002, 3500
C, Jonas Valanciunas, 23.1782, 5600
PF, Lavoy Allen, 14.5642, 3600
PF, Spencer Hawes, 14.938600000000001, 3800
PG, Jrue Holiday, 23.738599999999998, 5600
SG, Evan Turner, 27.4594, 5700
C, Nikola Vucevic, 30.1562, 7500
PF, Thaddeus Young, 31.827599999999997, 7100
SF, Carmelo Anthony, 37.358799999999995, 8600
PG, Toney Douglas, 3.267, 3500
SG, Iman Shumpert, 14.351599999999998, 4100
C, Brook Lopez, 39.5066, 8500
SG, Anthony Morrow, 11.082999999999998, 3600
PG, Deron Williams, 21.592399999999998, 6200
PF, Kevin Garnett, 13.244599999999998, 3500
SF, Jeff Green, 20.9416, 4800
SF, Paul Pierce, 15.0918, 3900
PF, Tobias Harris, 24.542399999999997, 5900
PF, Ersan Ilyasova, 22.8568, 5200
SG, Brandon Jennings, 16.1672, 5500
PF, Jon Leuer, 19.4284, 4400
PG, Beno Udrih, 5.449599999999999, 3500
SF, Paul George, 38.2382, 8900
PG, George Hill, 26.279999999999998, 5600
SF, Lance Stephenson, 3.9216, 3500
PF, Jonas Jerebko, 7.481199999999999, 3500
PG, Brandon Knight, 30.822000000000003, 6700
SF, Kyle Singler, 5.7028, 3500
PG, Rodney Stuckey, 17.983599999999996, 4500
PF, Charlie Villanueva, 5.7118, 3500
SF, Alonzo Gee, 6.475, 3500
PG, Kyrie Irving, 25.3114, 7600
PG, Ramon Sessions, 21.6928, 4300
PF, Tristan Thompson, 22.656599999999997, 4700
C, Anderson Varejao, 5.7134, 3500
C, Omer Asik, 11.1752, 3500
SF, Luol Deng, 18.6516, 4400
PF, Trevor Booker, 18.8782, 4300
C, JaVale McGee, 9.036, 3500
C, Kevin Seraphin, 4.5047999999999995, 3500
PG, John Wall, 41.5062, 9900
PF, Ryan Anderson, 23.8106, 5700
PG, Jameer Nelson, 26.6504, 5500
SG, J.J. Redick, 17.416999999999998, 5000
C, Joel Anthony, 2.6262, 3500
PF, Chris Bosh, 36.602199999999996, 7900
PG, Mario Chalmers, 18.205399999999997, 4300
PG, Norris Cole, 23.473399999999998, 4400
PF, Udonis Haslem, 3.0709999999999997, 3500
SF, LeBron James, 39.6918, 9700
SF, Mike Miller, 4.7614, 3500
SG, Dwyane Wade, 30.4162, 7300
PG, D.J. Augustin, 6.6518, 3500
C, Bismack Biyombo, 17.549, 4800
SF, Dante Cunningham, 2.9075999999999995, 3500
PF, Boris Diaw, 18.282, 4200
SG, Gerald Henderson, 10.8522, 3500
PG, Kemba Walker, 42.61879999999999, 8700
SG, Joe Johnson, 19.617199999999997, 5200
C, Zaza Pachulia, 30.046599999999998, 6600
PF, Josh Smith, 9.477, 3500
PF, Marvin Williams, 20.1062, 4700
PF, Nene Hilario, 4.6074, 4100
C, Tyson Chandler, 18.2746, 4000
PF, David West, 16.564999999999998, 3900
PG, Russell Westbrook, 48.6352, 10700
SF, James Jones, 4.807799999999999, 3500
PF, Kris Humphries, 8.315, 3500
SG, J.R. Smith, 18.0412, 4600
C, Alexis Ajinca, 8.4494, 3500
PG, Patrick Mills, 7.7993999999999994, 3800
SG, Garrett Temple, 17.561799999999998, 4200
SG, Jamal Crawford, 17.647799999999997, 3800
SG, Sasha Vujacic, 2.3184, 3500
SF, Tayshaun Prince, 11.1642, 3500
PG, Ronnie Price, 13.776599999999998, 3600
SF, Wesley Johnson, 14.8824, 3700
PG, Sonny Weems, 3.2475999999999994, 3500
