position, player, projection, salary
C, Tim Duncan, 30.95, 6500
SG, Manu Ginobili, 19.2, 4800
SG, Danny Green, 17.97, 3600
SF, Kawhi Leonard, 39, 8500
PF, LaMarcus Aldridge, 28.8, 7100
PF, Markieff Morris, 9.49, 4700
SF, Kobe Bryant, 27.08, 6400
SF, Metta World Peace, 8.74, 3500
SF, Al-Farouq Aminu, 24.22, 5100
PG, Eric Bledsoe, 34.82, 8600
PF, Ed Davis, 19.69, 4900
PG, Louis Williams, 23.39, 4900
PF, Jon Leuer, 26.54, 4500
C, Roy Hibbert, 21.92, 4800
SG, Brandon Knight, 34.83, 7900
SG, Nick Young, 4.86, 3600
PF, Brandon Bass, 2.88, 3500
PF, Boris Diaw, 14.37, 3500
SG, Gerald Henderson, 12.38, 3500
C, Tyson Chandler, 11.41, 4400
PF, David West, 13.93, 3700
PG, Patrick Mills, 20.6, 3700
PG, Ronnie Price, 2.13, 3500
SF, P.J. Tucker, 17.27, 3800
PF, Mirza Teletovic, 15.28, 4300
SF, Maurice Harkless, 10.66, 3500
C, Robert Sacre, 2.36, 3500
PF, Meyers Leonard, 18.36, 4200
PG, Damian Lillard, 37.53, 9300
C, Alex Len, 20.2, 4700
SG, C.J. McCollum, 28.18, 7200
C, Mason Plumlee, 26.21, 5500
SG, Archie Goodwin, 2.82, 3500
SG, Allen Crabbe, 15, 3700
PG, Ray McCallum, 5.98, 3500
SF, Ryan Kelly, 2.68, 3500
PF, Julius Randle, 22.16, 6400
PF, Noah Vonleh, 12.49, 3500
SF, T.J. Warren, 17.46, 3800
SF, Kyle Anderson, 8.2, 3500
SG, Jordan Clarkson, 23.94, 5500
PG, D'Angelo Russell, 18.86, 5100
SG, Devin Booker, 11.17, 3500
PF, Larry Nance Jr., 15.35, 3500
PG, Marcelo Huertas, 1.96, 3500
, Boban Marjanovic, 7.86, 3700
SF, Jonathon Simmons, 7.6, 3500

