name,projection,team,salary
Russell Westbrook PG,50.5,OKC,"$10,700"
Kemba Walker PG,45.5,CHA,"$8,700"
Anthony Davis PF,45.4,NO,"$10,200"
Kevin Durant SF,44.8,OKC,"$9,900"
John Wall PG,44.4,WAS,"$9,900"
Brook Lopez C,43.4,BKN,"$8,500"
Kyle Lowry PG,40.9,TOR,"$8,900"
Carmelo Anthony SF,39.4,NY,"$8,600"
Paul George SF,39.2,IND,"$8,900"
Andre Drummond C,39.2,DET,"$9,200"
Chris Paul PG,39.0,LAC,"$9,000"
Chris Bosh PF,37.9,MIA,"$7,900"
DeAndre Jordan C,37.7,LAC,"$7,900"
LeBron James SF,36.0,CLE,"$9,700"
Nicolas Batum SF,36.0,CHA,"$7,400"
Blake Griffin PF,36.0,LAC,"$9,000"
DeMar DeRozan SG,35.9,TOR,"$8,200"
Damian Lillard PG,34.5,POR,"$8,800"
Tyreke Evans PG,34.5,NO,"$7,500"
Will Barton SG,34.4,DEN,"$7,300"
Ricky Rubio PG,34.1,MIN,"$7,600"
Hassan Whiteside C,34.0,MIA,"$7,600"
Isaiah Thomas PG,34.0,BOS,"$8,100"
Gordon Hayward SF,33.9,UTA,"$7,600"
Thaddeus Young PF,33.6,BKN,"$7,100"
Zaza Pachulia C,33.1,DAL,"$6,600"
C.J. McCollum SG,32.9,POR,"$8,200"
Marcin Gortat C,32.7,WAS,"$7,000"
Marc Gasol C,31.6,MEM,"$7,800"
Kawhi Leonard SF,31.5,SA,"$8,500"
Dwyane Wade SG,31.0,MIA,"$7,300"
Rodney Hood SG,30.9,UTA,"$5,600"
Jameer Nelson PG,30.8,DEN,"$5,500"
Jae Crowder SF,30.7,BOS,"$6,200"
Karl-Anthony Towns C,30.7,MIN,"$7,500"
Zach Randolph PF,30.6,MEM,"$6,500"
Jeff Withey C,30.5,UTA,"$4,700"
Mike Conley PG,30.2,MEM,"$6,500"
Kenneth Faried PF,29.9,DEN,"$6,500"
Otto Porter SF,29.7,WAS,"$5,900"
LaMarcus Aldridge PF,29.5,SA,"$7,100"
Andrew Wiggins SF,29.5,MIN,"$6,600"
Danilo Gallinari SF,29.4,DEN,"$7,100"
Brandon Knight PG,29.1,PHO,"$6,700"
Derrick Favors PF,29.1,UTA,"$7,700"
Serge Ibaka PF,28.7,OKC,"$6,500"
Kevin Love PF,28.4,CLE,"$7,400"
Monta Ellis SG,28.2,IND,"$6,000"
Reggie Jackson PG,27.9,DET,"$7,200"
Nikola Vucevic C,27.8,ORL,"$7,500"
Kristaps Porzingis PF,26.9,NY,"$6,200"
Evan Turner SF,26.8,BOS,"$5,700"
George Hill PG,26.7,IND,"$5,600"
Dirk Nowitzki PF,26.4,DAL,"$6,900"
Robin Lopez C,26.1,NY,"$4,100"
Goran Dragic PG,25.9,MIA,"$5,800"
Cody Zeller PF,25.5,CHA,"$4,700"
Trey Burke PG,25.4,UTA,"$4,900"
Kentavious Caldwell-Pope SG,24.9,DET,"$5,900"
Jeremy Lin PG,24.6,CHA,"$5,300"
Kyrie Irving PG,24.4,CLE,"$7,600"
Norris Cole PG,24.2,NO,"$4,400"
Bojan Bogdanovic SF,24.1,BKN,"$4,400"
Ersan Ilyasova PF,24.1,DET,"$5,200"
Tim Duncan C,23.9,SA,"$6,000"
Arron Afflalo SG,23.5,NY,"$4,600"
Tony Parker PG,23.4,SA,"$5,800"
Tobias Harris SF,23.4,ORL,"$5,900"
Jonas Valanciunas C,23.3,TOR,"$5,600"
Victor Oladipo SG,23.1,ORL,"$5,700"
Ryan Anderson PF,23.0,NO,"$5,700"
C.J. Miles SF,22.9,IND,"$4,400"
Ramon Sessions PG,22.6,WAS,"$4,300"
Chandler Parsons SF,22.5,DAL,"$5,100"
Gary Harris SG,22.4,DEN,"$4,300"
Enes Kanter C,22.3,OKC,"$4,800"
Jeff Green SF,22.0,MEM,"$4,800"
Boris Diaw PF,21.6,SA,"$4,200"
Wesley Matthews SG,21.5,DAL,"$5,100"
Jrue Holiday PG,21.5,NO,"$5,600"
Allen Crabbe SG,21.5,POR,"$4,600"
Jeremy Lamb SG,21.5,CHA,"$4,500"
Tristan Thompson PF,21.3,CLE,"$4,700"
Luis Scola PF,21.2,TOR,"$4,400"
Gorgui Dieng C,21.2,MIN,"$5,000"
Courtney Lee SG,21.1,MEM,"$4,400"
Manu Ginobili SG,20.7,SA,"$4,600"
Cole Aldrich C,20.7,LAC,"$4,000"
Amir Johnson C,20.6,BOS,"$4,400"
Al-Farouq Aminu SF,20.6,POR,"$5,100"
Ian Mahinmi C,20.0,IND,"$5,000"
Jose Calderon PG,19.9,NY,"$4,100"
Marcus Morris SF,19.7,DET,"$5,200"
Raymond Felton PG,19.6,DAL,"$4,800"
Eric Gordon SG,19.6,NO,"$4,800"
David West PF,19.4,SA,"$3,900"
Jordan Hill C,19.4,IND,"$4,800"
Frank Kaminsky PF,19.2,CHA,"$4,000"
Evan Fournier SG,19.2,ORL,"$5,000"
Mario Chalmers PG,19.1,MEM,"$4,300"
Jared Sullinger PF,19.0,BOS,"$5,600"
Trevor Booker PF,19.0,UTA,"$4,300"
Jon Leuer PF,19.0,PHO,"$4,400"
Steven Adams C,19.0,OKC,"$4,200"
Matt Barnes SF,18.9,MEM,"$5,000"
Joffrey Lauvergne C,18.8,DEN,"$3,900"
Meyers Leonard C,18.8,POR,"$4,000"
Marvin Williams PF,18.8,CHA,"$4,700"
Devin Booker SG,18.8,PHO,"$3,600"
Kelly Olynyk C,18.7,BOS,"$4,300"
David Lee PF,18.6,BOS,"$4,100"
Joe Johnson SG,18.5,BKN,"$5,200"
Avery Bradley SG,18.3,BOS,"$5,100"
Tyler Johnson PG,18.2,MIA,"$4,000"
Bismack Biyombo C,18.2,TOR,"$4,800"
J.R. Smith SG,18.1,CLE,"$4,600"
Cameron Payne PG,18.1,OKC,"$3,700"
Mirza Teletovic PF,18.0,PHO,"$3,900"
Tyson Chandler C,17.8,PHO,"$4,000"
Paul Pierce SF,17.7,LAC,"$3,900"
Derrick Williams PF,17.7,NY,"$3,800"
Maurice Harkless SF,17.7,POR,"$3,600"
Matthew Dellavedova PG,17.6,CLE,"$4,400"
Luol Deng SF,17.4,MIA,"$4,400"
Jamal Crawford SG,17.4,LAC,"$3,800"
Deron Williams PG,17.3,DAL,"$6,200"
Mason Plumlee C,17.3,POR,"$5,000"
P.J. Tucker SF,17.3,PHO,"$4,300"
Tony Allen SG,17.2,MEM,"$3,900"
Gerald Green SG,17.1,MIA,"$3,800"
Boban Marjanovic C,17.1,SA,"$3,500"
Wayne Ellington SG,17.1,BKN,"$3,800"
Wesley Johnson SF,17.1,LAC,"$3,700"
Nikola Jokic C,17.0,DEN,"$4,500"
Danny Green SG,17.0,SA,"$3,800"
Austin Rivers PG,17.0,LAC,"$4,000"
Rodney Stuckey SG,16.9,IND,"$4,500"
Shabazz Muhammad SF,16.6,MIN,"$3,900"
Garrett Temple SG,16.6,WAS,"$4,200"
Aaron Gordon PF,16.5,ORL,"$3,600"
Ronnie Price PG,16.2,PHO,"$3,600"
DeMarre Carroll SF,16.0,TOR,"$5,400"
Emmanuel Mudiay PG,15.9,DEN,"$4,900"
Lavoy Allen PF,15.4,IND,"$3,600"
Stanley Johnson SF,15.4,DET,"$3,800"
Andrew Nicholson PF,14.8,ORL,"$3,600"
Spencer Hawes C,14.8,CHA,"$3,800"
Trey Lyles PF,14.5,UTA,"$3,500"
Terrence Ross SG,14.4,TOR,"$3,900"
Solomon Hill SG,14.3,IND,"$3,500"
Patrick Patterson PF,14.2,TOR,"$3,600"
Gary Neal SG,14.1,WAS,"$3,800"
Brandon Jennings PG,14.0,DET,"$5,500"
Kelly Oubre SF,14.0,WAS,"$3,500"
Anthony Tolliver PF,13.8,DET,"$3,600"
Andre Roberson SG,13.8,OKC,"$3,500"
